dataset,image_id,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,edge_density,grad_energy,spec_ratio,category
CVC-300,189,0.52086306,0.34006792,0.28614867,0.31287158,0.23459165,0.20499413,0.09769705,0.52578866,0.5219738,0.009003485,0.010076063,0.01812195,5_benchmark
CVC-300,153,0.34948856,0.2458156,0.20050274,0.3243371,0.22848034,0.1864123,0.11224312,0.42133233,0.35110995,0.022132404,0.014390239,0.004958188,5_benchmark
CVC-300,192,0.42429006,0.27987066,0.2344183,0.2878203,0.21009311,0.17750195,0.11721096,0.4978885,0.42504144,0.006993031,0.007763478,0.0014599303,5_benchmark
CVC-300,168,0.4015917,0.26875365,0.22159155,0.25468203,0.19016719,0.15668559,0.10770915,0.5107523,0.40423468,0.012445993,0.010145521,0.0023414635,5_benchmark
CVC-300,183,0.42101339,0.27990958,0.22761422,0.26225144,0.18945089,0.1543055,0.11116967,0.5157345,0.4218472,0.0073310104,0.009080638,0.00012891986,5_benchmark
CVC-300,207,0.50420433,0.32526135,0.14062846,0.3318819,0.23158953,0.112069406,0.13177466,0.7322016,0.5055461,0.012745645,0.009282481,0.002118467,5_benchmark
CVC-300,174,0.43894842,0.29477257,0.2451215,0.29685828,0.22288468,0.18807057,0.11157211,0.497837,0.43971318,0.007045296,0.007957507,0.0067247385,5_benchmark
CVC-300,205,0.4587574,0.2835146,0.1301178,0.31682038,0.21523866,0.11156689,0.12956874,0.7253874,0.4601175,0.015912892,0.010813669,0.0033344948,5_benchmark
CVC-300,164,0.3708086,0.24671546,0.1996767,0.25350118,0.191668,0.15431789,0.11234915,0.5246687,0.37179002,0.0076376307,0.008327823,0.00021602788,5_benchmark
CVC-300,176,0.51851004,0.3448275,0.28675535,0.325895,0.2411586,0.20408203,0.09158522,0.5084578,0.51947814,0.008961673,0.008956441,0.0044703833,5_benchmark
CVC-300,158,0.4996676,0.3290818,0.27311826,0.31289873,0.23500924,0.19648457,0.08326111,0.50545233,0.50104004,0.012108014,0.010749449,0.0014320557,5_benchmark
CVC-300,179,0.4809885,0.32943928,0.27289286,0.3079105,0.24170457,0.2072507,0.089005865,0.50448227,0.4819751,0.007097561,0.0091998745,0.0007212543,5_benchmark
CVC-300,175,0.41020137,0.26091138,0.21584557,0.28074816,0.1922271,0.15814763,0.10969935,0.51398325,0.41097364,0.0080627175,0.008267453,0.00048780488,5_benchmark
CVC-300,165,0.40264273,0.270709,0.22305389,0.27815405,0.21123609,0.17387325,0.13377576,0.5211152,0.40424988,0.008940767,0.009937829,0.0017142857,5_benchmark
CVC-300,173,0.43641096,0.29075986,0.24463952,0.29533538,0.21833235,0.18782328,0.11033209,0.49518102,0.43717697,0.0070836237,0.009023774,0.005170732,5_benchmark
CVC-300,204,0.27832988,0.17214549,0.088146515,0.22679539,0.16666591,0.08356465,0.120087855,0.69371355,0.27932414,0.013327526,0.0069973553,0.0016167248,5_benchmark
CVC-300,160,0.47826192,0.32777816,0.2691829,0.32916465,0.25617847,0.21862152,0.09537526,0.48801976,0.47913775,0.008648084,0.010149251,0.020275261,5_benchmark
CVC-300,181,0.4240179,0.2771759,0.22676829,0.27626103,0.19625016,0.1630913,0.106502585,0.5196531,0.42482904,0.007574913,0.0092017455,0.0021672475,5_benchmark
CVC-300,202,0.47810057,0.30894002,0.2577959,0.2926293,0.21114475,0.180746,0.097242266,0.5185229,0.47906184,0.007132404,0.00874258,0.0021324041,5_benchmark
CVC-300,190,0.5000066,0.3240746,0.26932794,0.29975918,0.22685969,0.19484362,0.08724788,0.5309957,0.5011365,0.007961673,0.008490982,0.015142857,5_benchmark
CVC-300,186,0.5171943,0.3226856,0.26649645,0.30163693,0.20644492,0.17453028,0.084253624,0.54007095,0.51809114,0.008125436,0.009801659,0.00018815331,5_benchmark
CVC-300,178,0.48003045,0.29269183,0.24342707,0.2903898,0.20342971,0.17384976,0.08315566,0.5434245,0.48097682,0.007752613,0.0083522005,0.00989547,5_benchmark
CVC-300,193,0.4284647,0.27629426,0.22506721,0.2891551,0.20152557,0.16676967,0.10308732,0.5357349,0.42933542,0.009571428,0.009486234,0.002195122,5_benchmark
CVC-300,150,0.3717845,0.2449142,0.20244853,0.29726332,0.20136836,0.16284107,0.16646354,0.4216999,0.37207255,0.021268293,0.012332635,0.004794425,5_benchmark
CVC-300,170,0.53799194,0.4080142,0.33863932,0.35070485,0.3186033,0.28055757,0.105013676,0.46123204,0.540812,0.010519164,0.011620285,0.08972474,5_benchmark
CVC-300,151,0.41707128,0.2793872,0.22588068,0.33571377,0.23119545,0.18770501,0.12352482,0.43685004,0.41742277,0.026571428,0.014662222,0.005066202,5_benchmark
CVC-300,196,0.5044286,0.34281006,0.28335992,0.32099012,0.25224468,0.21621588,0.08815741,0.5112155,0.5053946,0.0073449477,0.009772592,0.0056620208,5_benchmark
CVC-300,188,0.56152344,0.35588443,0.29524577,0.3172339,0.22120339,0.18811963,0.09173419,0.54843974,0.56271446,0.009268292,0.009230921,0.00010801394,5_benchmark
CVC-300,184,0.5084539,0.33010122,0.27296266,0.31168538,0.22213192,0.18811604,0.080474116,0.51734126,0.5092661,0.0079477355,0.009564473,0.00027526132,5_benchmark
CVC-300,172,0.46604338,0.31498992,0.2655708,0.31344125,0.24188638,0.21149854,0.10519914,0.4895566,0.46694425,0.009059234,0.008586895,0.021857142,5_benchmark
CVC-300,198,0.42101339,0.27990958,0.22761422,0.26225144,0.18945089,0.1543055,0.11116967,0.5157345,0.4218472,0.0073310104,0.009080638,0.00012891986,5_benchmark
CVC-300,159,0.51089275,0.34846553,0.28825662,0.33181316,0.26265147,0.221614,0.08774495,0.493752,0.511994,0.009700349,0.010012706,0.019700348,5_benchmark
CVC-300,171,0.4465921,0.31039464,0.25245923,0.32218942,0.2559172,0.2125489,0.12452748,0.47504154,0.44732726,0.009912892,0.00904252,0.023658536,5_benchmark
CVC-300,167,0.3842858,0.25802913,0.2136726,0.25015843,0.18634634,0.15471399,0.11458567,0.5120961,0.387258,0.011257839,0.010689098,0.0012996516,5_benchmark
CVC-300,208,0.43708426,0.26890075,0.12170943,0.2981252,0.20005539,0.10296264,0.13286579,0.739908,0.43836984,0.016003484,0.010808491,0.0030313588,5_benchmark
CVC-300,169,0.5288954,0.3858807,0.32228047,0.32858086,0.29277685,0.25719863,0.10140367,0.4755276,0.53182614,0.01212892,0.0120497905,0.06507666,5_benchmark
CVC-300,156,0.5156619,0.34594873,0.28846452,0.31651136,0.24622168,0.21365933,0.08506856,0.5029969,0.5181873,0.0117317075,0.011996648,0.017439025,5_benchmark
CVC-300,191,0.49069703,0.33069727,0.27223027,0.32394752,0.24822022,0.20911357,0.11002275,0.5008549,0.49170738,0.008836237,0.0086524375,0.015296168,5_benchmark
CVC-300,163,0.36850834,0.24322213,0.18980902,0.25203916,0.19197436,0.14649811,0.11095818,0.54139656,0.36936358,0.007055749,0.008699004,0.0003902439,5_benchmark
CVC-300,177,0.483833,0.31187627,0.2567053,0.2907424,0.20863028,0.17592692,0.08603207,0.52105075,0.484724,0.0084111495,0.008518173,0.0049547036,5_benchmark
CVC-300,200,0.50405806,0.3184809,0.26429603,0.29622856,0.20959283,0.1805812,0.08006528,0.53456044,0.50491244,0.0080662025,0.009315443,5.2264808e-05,5_benchmark
CVC-300,187,0.5017797,0.31782892,0.2659247,0.29782605,0.20944281,0.18030564,0.080633715,0.5286058,0.5026636,0.008003484,0.008439973,3.4843206e-06,5_benchmark
CVC-ClinicDB,555,0.40990072,0.23434928,0.15015642,0.29084927,0.16916652,0.10361732,0.046895757,0.48103815,0.41013563,0.021855107,0.0123092765,2.7126736e-05,5_benchmark
CVC-ClinicDB,61,0.33822858,0.24650334,0.17414068,0.21080291,0.15006784,0.1026624,0.06048821,0.3728952,0.33839133,0.02190936,0.015708085,0.0004159433,5_benchmark
CVC-ClinicDB,100,0.48067486,0.32250085,0.20327729,0.35087204,0.23847124,0.14856379,0.10452213,0.42853153,0.48278412,0.042787906,0.019151652,0.0060492624,5_benchmark
CVC-ClinicDB,65,0.36486533,0.26952088,0.17340504,0.22505571,0.16479583,0.111305214,0.06912462,0.4063911,0.36539376,0.025987413,0.01701376,0.0022967304,5_benchmark
CVC-ClinicDB,148,0.27606416,0.23856308,0.17534997,0.21276145,0.1833478,0.13049164,0.08152676,0.27772847,0.27618062,0.020146122,0.013586084,0.0030110676,5_benchmark
CVC-ClinicDB,529,0.44527537,0.3071714,0.21378814,0.32542133,0.22717948,0.15643197,0.057158,0.39874646,0.44554725,0.03962312,0.021978661,0.0043041087,5_benchmark
CVC-ClinicDB,240,0.33556667,0.2203273,0.16594408,0.22532032,0.14472114,0.108689755,0.061119817,0.40185362,0.3359245,0.025942203,0.016501276,0.0020073785,5_benchmark
CVC-ClinicDB,185,0.36631185,0.25082505,0.1704031,0.3147635,0.22311358,0.1485499,0.057134245,0.3938092,0.3666287,0.01574255,0.012818045,0.009711372,5_benchmark
CVC-ClinicDB,349,0.27252528,0.18400456,0.13778761,0.22320673,0.15747772,0.11767727,0.04868524,0.3872964,0.27270105,0.019232856,0.012380596,0.0017180266,5_benchmark
CVC-ClinicDB,73,0.2762341,0.20454425,0.1398863,0.20929909,0.14810719,0.091310605,0.06595149,0.36089894,0.27641404,0.020118997,0.012200819,0.00011754919,5_benchmark
CVC-ClinicDB,397,0.4409292,0.29603738,0.20052211,0.29441085,0.21682894,0.14171678,0.104215495,0.44872952,0.4429362,0.050645616,0.020188795,0.0068721063,5_benchmark
CVC-ClinicDB,171,0.57862186,0.36971757,0.18905279,0.3477887,0.21807985,0.10455589,0.12822343,0.540017,0.5812413,0.031656902,0.015075624,0.00094943575,5_benchmark
CVC-ClinicDB,526,0.42359278,0.29677922,0.24085681,0.30226964,0.2472026,0.21262455,0.05033452,0.3587017,0.42424408,0.024477359,0.01575826,0.06015806,5_benchmark
CVC-ClinicDB,191,0.33414903,0.21865505,0.14600551,0.2656097,0.16885357,0.10353253,0.05347787,0.41718602,0.3343348,0.019712094,0.014208908,0.00047019677,5_benchmark
CVC-ClinicDB,42,0.48335612,0.35339338,0.2219925,0.3347005,0.24191494,0.13486272,0.09980988,0.39710107,0.4849966,0.01823821,0.011285252,0.001437717,5_benchmark
CVC-ClinicDB,425,0.44627407,0.2934674,0.21430524,0.2801942,0.1863425,0.12925963,0.05081777,0.40278584,0.44664884,0.044994213,0.019898154,0.00014467593,5_benchmark
CVC-ClinicDB,134,0.29267684,0.25215185,0.18468834,0.20305699,0.17427936,0.12271848,0.080990724,0.28670228,0.29279688,0.019703053,0.012985356,0.000479239,5_benchmark
CVC-ClinicDB,25,0.45912743,0.27651942,0.14779848,0.31019107,0.1856852,0.095380954,0.058663413,0.5103282,0.45948875,0.03691949,0.018558301,0.0013744213,5_benchmark
CVC-ClinicDB,571,0.43637407,0.2473942,0.15986109,0.2735695,0.15389039,0.092362925,0.046246324,0.48430157,0.43667653,0.0265842,0.013455812,4.5211225e-05,5_benchmark
CVC-ClinicDB,166,0.5724777,0.36942312,0.17996047,0.35521388,0.23246267,0.114572845,0.13270083,0.5500675,0.5752362,0.027072482,0.013503053,0.0014467592,5_benchmark
CVC-ClinicDB,154,0.5994485,0.37195888,0.1819823,0.35084692,0.21205904,0.09510385,0.14099203,0.562447,0.6026221,0.04191081,0.018353106,0.0005334925,5_benchmark
CVC-ClinicDB,400,0.482573,0.30294114,0.2011276,0.28642055,0.17395402,0.10256851,0.10977091,0.47220314,0.48497117,0.04040075,0.019057008,0.0012116609,5_benchmark
CVC-ClinicDB,14,0.5399902,0.32863507,0.17760174,0.34336382,0.22633603,0.13789634,0.061319016,0.51303035,0.54037637,0.051848236,0.023203786,0.004059968,5_benchmark
CVC-ClinicDB,50,0.51689345,0.3772206,0.24166931,0.30990872,0.23258628,0.1519481,0.10365471,0.42834517,0.5183745,0.013699002,0.011093831,0.02190936,5_benchmark
CVC-ClinicDB,266,0.33659413,0.20151289,0.15756558,0.2544814,0.1564157,0.12298681,0.03894637,0.42133483,0.33680496,0.075819224,0.025139622,0.00050636573,5_benchmark
CVC-ClinicDB,561,0.41384682,0.24287999,0.15924625,0.2820735,0.16559081,0.10344287,0.04737955,0.46817794,0.41407382,0.025236906,0.012786687,0.00031647857,5_benchmark
CVC-ClinicDB,431,0.38244596,0.26674026,0.18395624,0.27528074,0.18818267,0.12437896,0.058799602,0.3918997,0.38271153,0.020851418,0.013616136,0.0017632379,5_benchmark
CVC-ClinicDB,569,0.44553128,0.2544402,0.17055795,0.26919603,0.15464005,0.10448352,0.046103176,0.47281966,0.44583702,0.025716146,0.013501071,0.00063295715,5_benchmark
CVC-ClinicDB,474,0.40397564,0.28141043,0.20320493,0.33130422,0.2182382,0.13429058,0.2519244,0.4035705,0.41167524,0.025345413,0.012742251,0.0043674046,5_benchmark
CVC-ClinicDB,66,0.3924537,0.2892035,0.17991312,0.24165888,0.17427777,0.11418806,0.07035538,0.416414,0.39277634,0.028211806,0.015092796,0.000994647,5_benchmark
CVC-ClinicDB,21,0.45085084,0.25269097,0.1212526,0.30856755,0.17393032,0.0872248,0.056695487,0.5469618,0.45123485,0.034514252,0.01682925,0.0010941117,5_benchmark
CVC-ClinicDB,464,0.4406864,0.30715337,0.23303129,0.26181415,0.18015882,0.13184679,0.051631685,0.36129025,0.44094995,0.047553167,0.02183059,0.000479239,5_benchmark
CVC-ClinicDB,374,0.3994595,0.2624335,0.19141653,0.3149841,0.18830729,0.11863569,0.076574095,0.3658275,0.4007751,0.012378834,0.010295894,0.00020797165,5_benchmark
CVC-ClinicDB,353,0.29905054,0.20151918,0.14793573,0.20120573,0.1475223,0.11161984,0.05021128,0.3985762,0.29930857,0.022198712,0.015136515,0.0020073785,5_benchmark
CVC-ClinicDB,31,0.47908565,0.35795048,0.22565883,0.324443,0.2392488,0.13815625,0.099157125,0.3890387,0.48063624,0.014548973,0.010434367,0.0011574074,5_benchmark
CVC-ClinicDB,492,0.4183021,0.28797156,0.21791853,0.30744928,0.21098174,0.15073384,0.24766406,0.43845674,0.4261742,0.035264757,0.0141471755,0.0072428384,5_benchmark
CVC-ClinicDB,181,0.36866182,0.24826613,0.1652235,0.31205237,0.21436046,0.13255654,0.054840557,0.41524258,0.36886147,0.020471644,0.014577915,0.00035264756,5_benchmark
CVC-ClinicDB,404,0.5033126,0.2989223,0.19548298,0.2998064,0.17545444,0.09947454,0.11374383,0.49924317,0.50597924,0.036078557,0.01571339,2.7126736e-05,5_benchmark
CVC-ClinicDB,575,0.35948813,0.28301966,0.21595298,0.29366043,0.2724156,0.25476336,0.06622908,0.3647591,0.36046466,0.043556497,0.019514227,0.08896665,5_benchmark
CVC-ClinicDB,483,0.4353678,0.2822122,0.21102034,0.317757,0.20190269,0.13635798,0.24658556,0.4604954,0.44320795,0.028464988,0.014675256,0.0068268953,5_benchmark
CVC-ClinicDB,442,0.4143504,0.28382543,0.2115649,0.28651875,0.19613084,0.1409805,0.050100796,0.37453276,0.41451505,0.043077257,0.017565478,0.0012026186,5_benchmark
CVC-ClinicDB,388,0.45873696,0.23648536,0.1576027,0.33857036,0.18773219,0.121113986,0.10987359,0.52387387,0.46156543,0.024332682,0.013736864,0.0138255935,5_benchmark
CVC-ClinicDB,52,0.3307693,0.22098725,0.15391795,0.2567334,0.16491076,0.10965564,0.054880172,0.40438345,0.33099636,0.02862775,0.014209404,0.00086805556,5_benchmark
CVC-ClinicDB,106,0.39442104,0.2258489,0.15060616,0.256117,0.16188923,0.11371169,0.048160706,0.4845843,0.39487493,0.029387297,0.019540176,0.0056242766,5_benchmark
CVC-ClinicDB,287,0.36888382,0.26402637,0.18540522,0.23986758,0.17171541,0.1158141,0.059481088,0.38411897,0.36910972,0.024377894,0.017545808,0.0008409288,5_benchmark
CVC-ClinicDB,119,0.4450236,0.28410944,0.18565372,0.26411536,0.16881678,0.10453716,0.054886036,0.44891226,0.4453823,0.018265335,0.013558179,0.0001989294,5_benchmark
CVC-ClinicDB,545,0.44309273,0.30943206,0.20617616,0.33147737,0.2333007,0.15309857,0.059074827,0.39074203,0.44330385,0.030526621,0.01742413,0.0013292101,5_benchmark
CVC-ClinicDB,459,0.45839074,0.3105036,0.23609969,0.2751683,0.18208627,0.13265277,0.049410895,0.37068617,0.458674,0.040518302,0.016989818,5.4253473e-05,5_benchmark
CVC-ClinicDB,429,0.39877552,0.27983445,0.19116859,0.2889483,0.20157269,0.13392724,0.059790403,0.39545938,0.3990345,0.02444119,0.015477413,0.0028844762,5_benchmark
CVC-ClinicDB,307,0.30264956,0.1980693,0.15574703,0.24656819,0.15668221,0.12163154,0.045765996,0.3724568,0.3028083,0.02094184,0.015639504,0.0016456887,5_benchmark
CVC-ClinicDB,80,0.55452234,0.38387734,0.17794879,0.37124282,0.26634175,0.1287239,0.13377991,0.50350374,0.5576142,0.03773329,0.017555874,0.00034360532,5_benchmark
CVC-ClinicDB,179,0.37182257,0.25020975,0.16800559,0.30651042,0.21304126,0.13709277,0.055241324,0.41662407,0.37204608,0.024875216,0.015272949,0.002170139,5_benchmark
CVC-ClinicDB,300,0.3229422,0.19505785,0.1533064,0.24220064,0.15334694,0.12181248,0.045747645,0.4077624,0.32345045,0.031702112,0.019405542,0.006221065,5_benchmark
CVC-ClinicDB,251,0.35218197,0.22989099,0.17092668,0.24571708,0.15390298,0.11184074,0.06487164,0.40890422,0.35255024,0.044912834,0.019099902,0.00061487267,5_benchmark
CVC-ClinicDB,89,0.5259721,0.33247438,0.20023908,0.3534716,0.21416548,0.13080259,0.12232779,0.46470344,0.5289622,0.038384333,0.01830426,0.0024594907,5_benchmark
CVC-ClinicDB,279,0.34652716,0.24903502,0.176305,0.22507699,0.1647913,0.12149079,0.060211197,0.38662714,0.34682345,0.043900102,0.028338071,0.005389178,5_benchmark
CVC-ClinicDB,163,0.58222246,0.3701031,0.19416724,0.34723386,0.21716906,0.10995033,0.12857018,0.53552204,0.5849367,0.03383608,0.015834615,0.0062843603,5_benchmark
CVC-ClinicDB,481,0.42456686,0.2776232,0.20857109,0.30749997,0.2024032,0.14483665,0.24646161,0.45884955,0.43251255,0.02778682,0.014424539,0.016755281,5_benchmark
CVC-ClinicDB,205,0.41629913,0.29157165,0.20572777,0.25704426,0.17606191,0.11867934,0.057171557,0.38374045,0.4165119,0.025273075,0.01650879,0.0022334347,5_benchmark
CVC-ClinicDB,381,0.42743218,0.28782147,0.20924422,0.34095356,0.22059833,0.14555532,0.084776066,0.3651964,0.4289753,0.014069734,0.010750713,0.0016728154,5_benchmark
CVC-ClinicDB,559,0.43186593,0.24310157,0.16221987,0.29091632,0.16393931,0.102722846,0.044782374,0.47071368,0.43211398,0.01767759,0.013361724,0.00027126737,5_benchmark
CVC-ClinicDB,453,0.4491961,0.30068758,0.22925793,0.26817313,0.17377266,0.12755391,0.04873085,0.37382618,0.44947776,0.045428243,0.020417096,0.00023509839,5_benchmark
CVC-ColonDB,339,0.37607446,0.2464924,0.13677461,0.28574428,0.1924063,0.11004574,0.099843,0.5938484,0.3767063,0.025059234,0.013992308,0.003313589,5_benchmark
CVC-ColonDB,334,0.3723635,0.23098414,0.13196999,0.28264716,0.19085315,0.114534765,0.08897618,0.6162607,0.37287915,0.026383275,0.015720814,0.002749129,5_benchmark
CVC-ColonDB,338,0.42663962,0.28550345,0.1562509,0.32375965,0.22582878,0.1292453,0.095336765,0.5787383,0.4273178,0.024581881,0.014660792,0.0043763067,5_benchmark
CVC-ColonDB,134,0.35614783,0.2684678,0.22624864,0.3361509,0.26171893,0.21458207,0.28785726,0.37395608,0.35701433,0.021804878,0.012898418,0.0062578395,5_benchmark
CVC-ColonDB,129,0.47909647,0.35261607,0.28165036,0.28538588,0.23601142,0.20224011,0.097554944,0.43335295,0.47948793,0.015850173,0.011931778,0.01556446,5_benchmark
CVC-ColonDB,84,0.49200115,0.28080302,0.18370542,0.24449268,0.15143313,0.10446073,0.074512996,0.6227618,0.4925818,0.014303136,0.011814254,0.0019303135,5_benchmark
CVC-ColonDB,149,0.4421485,0.30322936,0.2411909,0.32065067,0.23338166,0.1885445,0.10268259,0.45008543,0.4425436,0.019703833,0.012159431,0.006404181,5_benchmark
CVC-ColonDB,335,0.44271576,0.29519048,0.1637759,0.324068,0.23972034,0.14106445,0.09518081,0.6081499,0.4432847,0.029452961,0.01627763,0.0029442508,5_benchmark
CVC-ColonDB,38,0.49921784,0.29678538,0.17626601,0.26129675,0.18147631,0.13095886,0.0863122,0.65098906,0.49980402,0.011860627,0.010312584,0.00743554,5_benchmark
CVC-ColonDB,250,0.28008932,0.16098501,0.08357155,0.31573665,0.20846957,0.098013274,0.1375009,0.6703888,0.28129575,0.008229965,0.006808362,0.00067247386,5_benchmark
CVC-ColonDB,31,0.497013,0.32153866,0.23489259,0.3044503,0.21614575,0.15912871,0.119153894,0.55402,0.4978523,0.01243554,0.009796178,0.004609756,5_benchmark
CVC-ColonDB,356,0.5404596,0.34353077,0.19209842,0.27094698,0.19570307,0.11971051,0.11453351,0.68176866,0.54188925,0.012418118,0.011892543,0.00058536587,5_benchmark
CVC-ColonDB,226,0.43319598,0.20441335,0.09766766,0.3250856,0.16707483,0.08692213,0.110093474,0.76470447,0.4343639,0.0084703835,0.006867004,0.00055052264,5_benchmark
CVC-ColonDB,324,0.37078437,0.2407764,0.12726694,0.22013819,0.1591468,0.10009514,0.13187458,0.6944945,0.3731737,0.030627178,0.01891646,0.0018466898,5_benchmark
CVC-ColonDB,203,0.5000066,0.3240746,0.26932794,0.29975918,0.22685969,0.19484362,0.08724788,0.5309957,0.5011365,0.007961673,0.008490982,0.015142857,5_benchmark
CVC-ColonDB,8,0.53487396,0.33999068,0.24946703,0.29382434,0.20566313,0.16474551,0.09444488,0.57292545,0.53549474,0.011456446,0.010580204,0.00095818815,5_benchmark
CVC-ColonDB,317,0.57161075,0.38545215,0.25862855,0.29473987,0.22573477,0.16448492,0.10238301,0.59726065,0.57253313,0.013327526,0.0123125715,0.0045540067,5_benchmark
CVC-ColonDB,15,0.5289623,0.35264605,0.25518382,0.30177617,0.22016077,0.1703717,0.11400933,0.5682357,0.53014827,0.011996516,0.010396237,0.008672474,5_benchmark
CVC-ColonDB,308,0.2773231,0.18452929,0.13013463,0.16074184,0.117625415,0.07844418,0.09911817,0.57682425,0.27823922,0.009383275,0.0076498888,0.0003519164,5_benchmark
CVC-ColonDB,180,0.4604391,0.3008233,0.24835406,0.30383715,0.22104664,0.18596493,0.09123799,0.509389,0.4613507,0.007358885,0.008371514,0.010557491,5_benchmark
CVC-ColonDB,112,0.45443186,0.3397951,0.27246982,0.31451738,0.24820746,0.20334151,0.16366553,0.39381403,0.45513532,0.01718467,0.010996151,0.011623694,5_benchmark
CVC-ColonDB,320,0.33987573,0.21379787,0.13811985,0.22186685,0.16243157,0.10003432,0.09857173,0.62415487,0.3407946,0.009087108,0.008668539,0.00058188156,5_benchmark
CVC-ColonDB,94,0.55114347,0.32267272,0.20736024,0.26338506,0.1678432,0.114893146,0.08101926,0.633424,0.55195534,0.01520209,0.013442702,0.0015923345,5_benchmark
CVC-ColonDB,1,0.3181233,0.19079523,0.15281382,0.21334735,0.14188023,0.11597725,0.11307675,0.5731954,0.31898797,0.01141115,0.008623806,0.0002055749,5_benchmark
CVC-ColonDB,17,0.46017575,0.29651126,0.22841482,0.27092975,0.2054031,0.17621174,0.13669506,0.55187094,0.4614778,0.012919861,0.009696554,0.015101045,5_benchmark
CVC-ColonDB,331,0.34086722,0.20342983,0.122112535,0.3047355,0.21236049,0.12415317,0.085622154,0.6068812,0.3418666,0.013233449,0.01018618,0.0005400697,5_benchmark
CVC-ColonDB,121,0.36548343,0.2529808,0.20115341,0.28592774,0.21021993,0.16527234,0.20006473,0.41569462,0.36712363,0.011132404,0.0091695,0.0059965155,5_benchmark
CVC-ColonDB,140,0.4112091,0.30633155,0.2510556,0.3305491,0.2653663,0.21590386,0.22828782,0.3925586,0.41203535,0.014243903,0.010265593,0.007324042,5_benchmark
CVC-ColonDB,107,0.4735925,0.33807975,0.26921436,0.31332248,0.24893704,0.20944613,0.13422559,0.4721689,0.4747146,0.017156795,0.011998533,0.016616724,5_benchmark
CVC-ColonDB,168,0.4015917,0.26875365,0.22159155,0.25468203,0.19016719,0.15668559,0.10770915,0.5107523,0.40423468,0.012445993,0.010145521,0.0023414635,5_benchmark
CVC-ColonDB,43,0.48121488,0.29145765,0.1440424,0.3313258,0.21569125,0.124610156,0.12072202,0.7079383,0.4824629,0.012331011,0.009844734,0.005850174,5_benchmark
